DEPT,Depth Index
DCI4,Data Copy Indicator - Monopole P&S
DF,Uncalibrated Downhole Force
DT1,Delta-T Shear - Lower Dipole
DT1R,Delta-T Shear Receiver Array - Lower Dipole
DT2,Delta-T Shear - Upper Dipole
DT2R,Delta-T Shear Receiver Array - Upper Dipole
DT4P,Delta-T Compressional - Monopole P&S
DT4S,Delta-T Shear - Monopole P&S
DTCO,Corrected Sonic Log
DTRP,Delta-T Compressional Receiver Array - Monopole P&S
DTRS,Slowness from receiver array
DTSM,Delta-T Shear
DTTP,Delta-T Compressional Transmitter Array - Monopole P&S
DTTS,Slowness from transmitter array
ECD,Ellipse Center Distance
ECGR,Environmentally Corrected Gamma Ray
ECT,EMS Cartridge Temperature
EEC1,EMS Eccenter 1
EFCF,EMS Fixed Caliper Flag
EFF,EMS Formation Flag
EFNF,EMS Frame Number Float
ELA,Ellipse Long Axis
EMCF,EMS Mudcake Flag
EMDF,EMS Mode Float
EMID,Ellipse Minimum Distance
EOPF,EMS Option Float
ERA,Ellipse Rotation Angle
ESA,Ellipse Short Axis
ETC1,EMS Tool Center 1
ETC2,EMS Tool Center 2
ETC3,EMS Tool Center 3
ETIM,TIME FROM LOG BEGIN (MS)
FCD,Future Casing Diameter
GR,NATURAL GAMMA RAY
HD1,Hole Diameter 1
HD2,Hole Diameter 2
HD3,Hole Diameter 3
HDAR,Hole Diameter from Area
HDIF,Hole Diameter Difference
HDMI,Hole Diameter Minimum
HDMX,Hole Diameter Maximum
HDOV,Hole Diameter from Oval
ICV,Integrated Cement Volume
IDWD,Borehole depth as measured by the IDW (Integrated Depth Wheel)
IHV,Integrated Hole Volume
ITT,INTEGRATED TRAVEL TIME MARK
LSR,Long space reduced by ISSD quadratic fit
OSDV,Oval Standard Deviation
PHWA,Pad Hole-Wall Angle
PR,Poisson's Ratio
PWF1,DSST Packed Waveform Data - Lower Dipole
PWF2,DSST Packed Waveform Data - Upper Dipole
PWF4,DSST Packed Waveform Data - Monopole P&S
PWN1,DSST Packed Waveform Normalization Factors - Lower Dipole
PWN2,DSST Packed Waveform Normalization Factors - Upper Dipole
PWN4,DSST Packed Waveform Normalization Factors - Monopole P&S
RD1,Radius 1
RD2,Radius 2
RD3,Radius 3
RD4,Radius 4
RD5,Radius 5
RD6,Radius 6
RDMI,Radius Minimum
REA,Relative Ellipse Azimuth
REMS,Mud Resistivity
RGR,NATURAL GAMMA RAY
RT,True Resistivity
SAS1,Sonic Array Status - Lower Dipole
SAS2,Sonic Array Status
SAS4,Sonic Array Status - P S
SCD,Speed Corrected Depth
SOBS,Label Borehole Size for Bias Correction
SPHI,SONIC POROSITY
SPR1,Spare 1
SPR2,Spare 2
SPR4,Spare 4
SPT4,STC Slowness Projection Transmitter Array - Monopole P&S
SRD1,Synthetic Radius 1
SRD2,Synthetic Radius 2
SRD3,Synthetic Radius 3
SSVE,Sonic Shear Velocity
SVEL,Sonic Velocity
TDEP,Echo - Experiment depth
TENS,CABLE TENSION
TIME,Azimuthal Density - Time
TMP,Mud Temperature
VPVS,Compressional to shear velocity ratio
