DEPT,Depth Index
S1CP,HNGS Detector 1 Pulse Shape Compensation Control Loop Status
S1DT,HNGS Detector 1 Dead Time Countrate
S1RH,Short Spacing 1 Density
S1SP,HNGS Detector 1 Anti-Coincidence Spectrum
S1TM,HNGS Detector 1 Temperature
S2AT,HNGS Detector 2 Spectrum Accumulation Time
S2CH,HNGS Detector 2 High Voltage Control Loop Status
S2CP,HNGS Detector 2 Pulse Shape Compensation Control Loop Status
S2DT,HNGS Detector 2 Dead Time Countrate
S2NR,HNGS Detector 2 Na22 Set Point
S2SP,HNGS Detector 2 Anti-Coincidence Spectrum
S2TM,HNGS Detector 2 Temperature
SCD,Speed Corrected Depth
SDEV,Sonde Deviation
SHNG,HNGS Acquisition Status Word
SHVD,Short Spacing Downhole High Voltage CCS
SS1,Short Spacing 1 Window Count Rate
SS2,Short space count rate channels 200-1000
SSHV,High Voltage Output for SS Loop
TALP,Thermal Alpha Factor
TDEP,Echo - Experiment depth
TENS,CABLE TENSION
TIME,Azimuthal Density - Time
TNPH,Thermal Neutron Porosity (Ratio Method) in Selected Lithology
TNRA,Thermal Neutron Ratio
VBF1,HNGS Detector 1 Variable Barite Factor
VBF2,HNGS Detector 2 Variable Barite Factor
