DEPT,Depth Index
NOISE_FLAG,CMR Excessive Noise Flag
NOISE_ENV,CMR Tool Hardware Noise per Echo with Environmental Effects
KSDR,Permeability Computed Using SDR Model
KTIM,CMR Permeability Computed Using Timur/Coates Model
T12R,Computed T1/T2
T2LM_MW,T2 Logarithmic Mean - Multi Wait
T2LM_MW_SIG,Standard Deviation of T2 Logarithmic Mean - Multi Wait
T2LM,T2 Logarithmic Mean
T2LM_SIG,Standard Deviation of T2 Logarithmic Mean
TCMR,Total CMR Porosity
TCMR_SIG,Standard Deviation of Total CMR Porosity
WAIT_FLAG,Insufficient Wait Time Flag
B0_MC,B0 for Master Calibration
LOOP,Calibration Loop Amplitude
CMR_GAIN,CMR System Gain
CMR_TEMP,CMR Sonde Temperature
DELTA_B0,Delta B0
NOISE_PWR,Noise Power Computed Down-Hole
INV_AMP_MC_25,Inverse Master Calibration Amplitude Corrected to 25 degC
FREQ_OP,Operating Frequency
SPHASE,Signal Phase
WSUM,Window Sums
CMR_SIG_PROC_SW_RT,Real-Time Signal Processing Call Switch
ECHO_AMP_R,R-Component of CMR Spin Echoes
ECHO_AMP_X,X-Component of CMR Spin Echoes
C1SP,HNGS Detector 1 Coincidence Spectrum
C2SP,HNGS Detector 2 Coincidence Spectrum
